mode,batch_size,profile,n,duration_mean_sec,duration_std_sec,baseline_mean_sec,baseline_std_sec,baseline_n,overhead_pct,overhead_std_pct
all,4,A,3,309.7073953526172,0.07670629582428257,309.7073953526172,0.07670629582428257,3,0.0,0.024767343943126918
all,4,B,3,309.94957530397613,0.6109104780636269,309.7073953526172,0.07670629582428257,3,0.0781963734134282,0.19725408150750648
all,4,C,3,310.19277489138767,0.7499167446582004,309.7073953526172,0.07670629582428257,3,0.15672197243396302,0.24213717719087174
all,8,A,3,309.90090686137165,0.1107110705739305,309.90090686137165,0.1107110705739305,3,0.0,0.03572466815124714
all,8,B,3,309.733189694661,0.5594355124115328,309.90090686137165,0.1107110705739305,3,-0.0541196114620181,0.18052077293913366
all,8,C,3,310.42257524832775,1.0050749597437583,309.90090686137165,0.1107110705739305,3,0.1683339336562356,0.32432139999943904
all,16,A,3,388.07499296198756,135.9290156480436,388.07499296198756,135.9290156480436,3,0.0,35.026481508268176
all,16,B,3,309.9453680796626,0.48885851870367836,388.07499296198756,135.9290156480436,3,-20.132610010760946,0.12597011597486846
all,16,C,3,310.05045338138007,0.08288128092486172,388.07499296198756,135.9290156480436,3,-20.105531403887728,0.021357026973644767
filtered,4,A,3,309.7073953526172,0.07670629582428257,309.7073953526172,0.07670629582428257,3,0.0,0.024767343943126918
filtered,4,B,3,309.94957530397613,0.6109104780636269,309.7073953526172,0.07670629582428257,3,0.0781963734134282,0.19725408150750648
filtered,4,C,3,310.19277489138767,0.7499167446582004,309.7073953526172,0.07670629582428257,3,0.15672197243396302,0.24213717719087174
filtered,8,A,3,309.90090686137165,0.1107110705739305,309.90090686137165,0.1107110705739305,3,0.0,0.03572466815124714
filtered,8,B,3,309.733189694661,0.5594355124115328,309.90090686137165,0.1107110705739305,3,-0.0541196114620181,0.18052077293913366
filtered,8,C,3,310.42257524832775,1.0050749597437583,309.90090686137165,0.1107110705739305,3,0.1683339336562356,0.32432139999943904
filtered,16,A,2,309.5964821209782,0.3668884811704137,309.5964821209782,0.3668884811704137,2,0.0,0.11850537792191324
filtered,16,B,3,309.9453680796626,0.48885851870367836,309.5964821209782,0.3668884811704137,2,0.11269054360511216,0.1579018325255555
filtered,16,C,3,310.05045338138007,0.08288128092486172,309.5964821209782,0.3668884811704137,2,0.1466332102005254,0.02677074376202859
