time_bin_start_min,step,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
0,4753.5,59.43847314138439,85.30286135072586,4693.176993477803,32760.0,168.97672606774668,8823.880180938355,2.4510778280384317e-06,9.804311312153728e-05,0.012033339488334863,0.4813335795333946,2545.88720703125,3903.9269934778035,13985.973713970125,515475.12890625,0.779160530191458,1665.3681523511466,17902.64046597215,103.4137597306964,0.0,0.00027285398695560696
10,14959.0,51.770654790829894,96.26189821182943,4693.25,32760.0,182.19023090325538,7949.45969738652,2.2081832492740334e-06,8.832732997096133e-05,0.03535459891532935,1.4141839566131724,2545.88720703125,3904.0,14289.855191497592,515475.12890625,0.8082530949105915,1912.2867491976158,18149.16580589466,103.88674002751031,0.0,0.00026614798257679965
20,25863.0,51.73912308291296,96.21682105842429,4693.25,32760.0,181.62007722645143,7943.719251582133,2.206588680995037e-06,8.826354723980148e-05,0.05942063741434598,2.376825496573833,2545.88720703125,3904.0,14335.142157333417,515475.12890625,0.8067962945978171,1938.4312219830551,18175.35557049952,103.88299550582408,0.0,0.00026691334953682475
30,36761.5,51.72533049586929,96.19028823205434,4693.25,32760.0,181.47883440425923,7941.415366256655,2.205948712849071e-06,8.823794851396284e-05,0.08346704101506017,3.338681640602363,2545.88720703125,3904.0,14358.278313320407,515475.12890625,0.8098769965118414,1955.5678222387323,18192.65681259466,103.80772902515146,0.0,0.00026605815127593173
40,47654.5,51.70106964753948,96.14763128901946,4693.25,32760.0,181.30512835108337,7936.987881013588,2.2047188558371076e-06,8.81887542334843e-05,0.10746495916758576,4.298598366703368,2545.88720703125,3904.0,14366.2496524829,515475.12890625,0.8057840616966581,1963.2074845643592,18200.875,103.78400661035623,0.0,0.0002621620225853838
50,58549.5,51.69196518076711,96.18168471279134,4693.25,32760.0,181.51711488346484,7942.320609286107,2.206200169246141e-06,8.824800676984564e-05,0.1315041355891504,5.260165423565982,2545.88720703125,3904.0,14374.608690743142,515475.12890625,0.8120664342081116,1971.1472378102633,18207.93950438154,103.81069003486878,0.0,0.00026560206001101117
60,69444.5,51.72872169720896,96.13661402864487,4693.25,32760.0,181.63541617701065,7940.562982005142,2.2057119394458728e-06,8.82284775778349e-05,0.15555616895958296,6.222246758383322,2545.88720703125,3904.0,14376.23702853872,515475.12890625,0.8122750642673522,1977.9453103481912,18214.746668282914,103.78591626882115,0.0,0.00026610700514138815
70,80338.5,51.74594904910059,96.18355359765052,4693.25,32760.0,181.49059462187958,7944.512022760646,2.2068088952112906e-06,8.827235580845163e-05,0.17958621685865778,7.18344867434636,2545.88720703125,3904.0,14379.348178589047,515475.12890625,0.8142988252569751,1984.780711528313,18221.765934746694,103.83493024963289,0.0,0.00026600931534508077
80,91090.0,53.21396847676063,94.09851984538513,4693.25,32760.0,179.01810295088148,8109.337418685774,2.2525937274127147e-06,9.010374909650859e-05,0.20336113368357248,8.134445347342961,2545.88720703125,3904.0,14397.371750008839,515475.12890625,0.8037993777693976,1991.3934507430235,18228.7972845173,103.66784199113793,0.0,0.0002677329829357971
90,101844.0,51.72568795697642,96.21731951197138,4693.25,32760.0,182.51676048068984,7982.563067608477,2.2173786298912434e-06,8.869514519564974e-05,0.2275730634419602,9.102922537678461,2545.88720703125,3904.0,14399.114999125653,515475.12890625,0.8074763783139162,2000.4403448508165,18238.118877783574,103.89206494816989,0.0,0.00026732065865516923
100,108260.5,51.77290762784679,96.26656314699792,4693.25,32760.0,182.3915522774327,7981.624741200828,2.2171179836668966e-06,8.868471934667587e-05,0.2418039875083367,9.6721595003335,2545.88720703125,3904.0,14396.169820781573,515475.12890625,0.8067287784679089,2000.6461649197722,18238.333632569876,103.91780538302278,0.0,0.00026688664596273294
